time,ERCOT_WEST_2022
3513,46.0132
3514,41.8546
3515,56.9542
3516,67.3274
3517,85.7434
3518,95.2488
3519,139.8866
3520,137.002
3521,118.8355
3522,62.3986
3523,66.1015
3524,64.418
3525,51.6073
3526,28.7441
3527,-0.6198
3528,-0.4213
3529,-0.5125
3530,-1.5744
3531,-1.8202
3532,-1.8294
3533,-0.5657
3534,-0.5533
3535,-0.5987
3536,-1.3318
3537,-2.7001
3538,-2.2674
3539,-0.9168
3540,-0.2303
3541,0.6496
3542,0.4233
3543,16.6754
3544,7.5299
3545,0.0739
3546,2.8293
3547,40.1882
3548,54.9171
3549,55.8826
3550,52.8501
3551,54.256
3552,42.8212
3553,0.0137
3554,-0.1322
3555,-0.3161
3556,-0.6607
3557,-0.6057
3558,-1.0389
3559,-1.1982
3560,-3.2855
3561,-2.564
3562,-2.3292
3563,-0.5412
3564,-0.5171
3565,-0.6008
3566,-0.3151
3567,-0.2583
3568,-0.2185
3569,-0.0942
3570,-0.1683
3571,0.3118
3572,60.7581
3573,51.7027
3574,28.2615
3575,0.1901
3576,-0.1264
3577,-0.1491
3578,-0.2241
3579,-0.2781
3580,0.0209
3581,0.3506
3582,20.8075
3583,12.287
3584,-0.1823
3585,-0.1411
3586,0.5414
3587,43.1553
3588,69.0933
3589,74.1108
3590,74.759
3591,60.4648
3592,31.6402
3593,0.4422
3594,1.1035
3595,13.9862
3596,73.0379
3597,76.8894
3598,59.059
3599,24.7658
3600,5.2107
3601,18.7398
3602,-0.0291
3603,-0.1022
3604,10.1447
3605,44.4826
3606,52.8662
3607,66.8405
3608,10.0823
3609,0.3837
3610,1.7686
3611,10.8727
3612,35.7235
3613,65.3509
3614,70.5596
3615,74.6989
3616,78.2971
3617,70.2564
3618,52.0751
3619,47.418
3620,57.7522
3621,71.3008
3622,59.4017
3623,81.1307
3624,79.8285
3625,81.9834
3626,75.0671
3627,69.1328
3628,58.6538
3629,52.7541
3630,58.3368
3631,51.948
3632,47.261
3633,36.2731
3634,41.1888
3635,56.3162
3636,76.7885
3637,82.5638
3638,78.4999
3639,77.6566
3640,78.4339
3641,76.2175
3642,82.4863
3643,97.035
3644,73.5231
3645,63.5106
3646,58.5681
3647,51.5567
3648,55.4818
3649,51.6646
3650,46.0767
3651,55.3447
3652,67.7592
3653,72.1238
3654,59.5541
3655,58.2185
3656,63.4483
3657,76.0957
3658,78.1854
3659,80.6845
3660,80.663
3661,84.1874
3662,86.5575
3663,94.0927
3664,93.6037
3665,85.659
3666,90.0586
3667,84.2555
3668,83.3712
3669,78.1051
3670,72.4063
3671,65.548
3672,55.2521
3673,53.163
3674,50.0397
3675,47.3305
3676,43.8821
3677,43.4018
3678,52.4081
3679,56.4733
3680,58.8796
3681,58.8982
3682,69.5268
3683,70.4506
3684,67.8249
3685,79.08
3686,77.5537
3687,78.5189
3688,77.4362
3689,76.288
3690,74.7876
3691,79.6603
3692,78.4772
3693,74.8351
3694,80.8198
3695,70.3906
3696,55.5955
3697,52.0237
3698,51.1913
3699,51.2689
3700,51.6035
3701,50.5157
3702,59.6931
3703,55.7036
3704,67.4148
3705,67.8594
3706,66.0909
3707,71.6196
3708,62.4386
3709,70.1247
3710,78.0654
3711,82.5756
3712,84.0237
3713,82.618
3714,80.8075
3715,76.7837
3716,74.4432
3717,55.6005
3718,48.7142
3719,43.2929
3720,0.0115
3721,-0.2943
3722,-0.8156
3723,-1.2372
3724,-1.6492
3725,-3.9953
3726,-5.69
3727,-1.6037
3728,0.0356
3729,2.2599
3730,18.012
3731,46.0861
3732,48.633
3733,50.9977
3734,55.5359
3735,56.0492
3736,56.6522
3737,56.9435
3738,60.9522
3739,75.0322
3740,86.7663
3741,94.7819
3742,92.5318
3743,80.3776
3744,49.5078
3745,20.4627
3746,19.5149
3747,19.3369
3748,23.5734
3749,30.2702
3750,33.8858
3751,26.1318
3752,26.9674
3753,31.9638
3754,47.7599
3755,54.75
3756,76.7558
3757,82.854
3758,84.7698
3759,86.5286
3760,93.2384
3761,91.5314
3762,100.1373
3763,124.3264
3764,114.0425
3765,93.7228
3766,79.9183
3767,72.3648
3768,65.9112
3769,60.7817
3770,57.4338
3771,54.4774
3772,53.8718
3773,59.4834
3774,61.1614
3775,54.7954
3776,40.6809
3777,51.134
3778,56.7256
3779,65.9537
3780,82.7552
3781,87.8658
3782,102.7835
3783,126.5821
3784,116.0522
3785,99.1583
3786,92.0903
3787,90.8584
3788,106.5775
3789,92.2633
3790,105.4122
3791,81.8523
3792,86.6716
3793,74.5587
3794,66.4852
3795,63.3743
3796,59.5946
3797,60.5324
3798,56.6268
3799,47.4816
3800,7.6986
3801,3.4394
3802,2.1267
3803,-1.7083
3804,-1.9734
3805,-0.5227
3806,19.6477
3807,41.6813
3808,80.1593
3809,83.6341
3810,86.1778
3811,86.3675
3812,94.1367
3813,83.9645
3814,82.1175
3815,73.8098
3816,75.0547
3817,69.0703
3818,61.4009
3819,60.585
3820,61.9634
3821,63.0367
3822,67.0003
3823,75.7119
3824,64.0488
3825,62.2095
3826,59.371
3827,60.833
3828,71.6105
3829,83.5465
3830,86.3101
3831,83.2107
3832,81.2363
3833,84.6315
3834,86.0687
3835,86.294
3836,88.036
3837,83.7496
3838,74.0589
3839,67.5537
3840,66.2429
3841,55.0519
3842,51.1912
3843,59.0962
3844,66.9576
3845,64.5784
3846,63.848
3847,57.3017
3848,50.7304
3849,42.343
3850,35.5461
3851,46.6551
3852,62.5706
3853,78.0153
3854,80.9475
3855,79.1714
3856,80.5051
3857,83.46
3858,90.6414
3859,103.2382
3860,90.6148
3861,77.9681
3862,64.0641
3863,55.2132
3864,55.8212
3865,47.715
3866,32.3477
3867,20.2059
3868,21.0883
3869,20.6284
3870,28.4556
3871,31.6911
3872,38.6963
3873,42.5298
3874,47.1979
3875,54.0041
3876,67.7235
3877,75.1313
3878,78.6424
3879,79.5358
3880,79.532
3881,78.8685
3882,79.3021
3883,83.9651
3884,86.3219
3885,67.6889
3886,70.6432
3887,68.7382
3888,68.4472
3889,61.0858
3890,53.4768
3891,37.0442
3892,18.9356
3893,13.3306
3894,18.7446
3895,25.4816
3896,2.5086
3897,0.4127
3898,0.1812
3899,0.2629
3900,0.7094
3901,1.3999
3902,0.9377
3903,10.8684
3904,35.5339
3905,50.0123
3906,70.1003
3907,85.9393
3908,88.0557
3909,77.8544
3910,77.2928
3911,67.943
3912,98.6058
3913,71.6192
3914,56.8442
3915,45.4936
3916,53.5411
3917,63.268
3918,64.4201
3919,15.3974
3920,-0.6969
3921,-2.0179
3922,-1.9787
3923,-1.9964
3924,-0.8665
3925,0.6861
3926,1.773
3927,1.9359
3928,1.7717
3929,1.1846
3930,0.8051
3931,16.3898
3932,69.1484
3933,69.5114
3934,54.8964
3935,0.811
3936,5.7982
3937,0.0235
3938,-0.2054
3939,-0.1278
3940,-0.1289
3941,-0.1426
3942,-0.1464
3943,-0.9599
3944,-2.3264
3945,-2.2302
3946,-2.0022
3947,-0.8732
3948,0.2691
3949,25.5063
3950,59.2417
3951,52.4531
3952,9.8987
3953,1.7542
3954,4.4128
3955,16.4645
3956,50.7023
3957,61.9662
3958,66.8064
3959,33.378
3960,0.3487
3961,-0.9118
3962,-2.1378
3963,-2.0441
3964,-1.9453
3965,-1.9948
3966,-1.3503
3967,-0.6596
3968,-1.7095
3969,-1.7164
3970,-1.4551
3971,-0.7005
3972,-0.5877
3973,-0.3154
3974,3.4306
3975,29.4434
3976,48.8039
3977,46.4225
3978,38.9124
3979,56.1148
3980,72.2783
3981,60.4111
3982,54.9843
3983,46.4787
3984,42.9853
3985,44.2413
3986,42.9597
3987,41.832
3988,44.4212
3989,48.0536
3990,49.4684
3991,49.191
3992,34.8264
3993,2.6535
3994,12.9123
3995,30.253
3996,45.1908
3997,51.287
3998,44.7355
3999,41.4868
4000,38.735
4001,40.5538
4002,45.9869
4003,75.0842
4004,83.9753
4005,66.6657
4006,48.9153
4007,41.0042
4008,45.0427
4009,39.1756
4010,36.16
4011,39.5795
4012,46.5579
4013,47.5408
4014,46.9868
4015,47.5101
4016,51.923
4017,50.0504
4018,53.736
4019,73.6888
4020,93.5226
4021,102.1437
4022,82.7528
4023,79.0265
4024,73.9257
4025,72.667
4026,72.3453
4027,79.5918
4028,82.47
4029,72.5551
4030,68.0729
4031,62.7163
4032,59.1954
4033,53.7979
4034,52.7496
4035,52.5858
4036,52.9767
4037,53.4013
4038,49.9404
4039,49.7149
4040,52.1549
4041,46.2071
4042,61.5934
4043,68.2112
4044,71.2886
4045,73.805
4046,73.5305
4047,74.641
4048,73.6314
4049,68.9608
4050,60.8179
4051,65.0046
4052,70.6735
4053,64.9675
4054,55.3529
4055,47.6655
4056,50.2087
4057,50.1242
4058,47.2328
4059,45.0314
4060,44.0976
4061,44.3948
4062,41.7963
4063,43.432
4064,44.8136
4065,45.608
4066,46.6605
4067,53.7342
4068,62.7538
4069,67.7768
4070,65.5442
4071,69.0723
4072,62.7217
4073,52.0401
4074,22.5273
4075,41.6235
4076,69.7668
4077,69.315
4078,66.1626
4079,52.6435
4080,52.2753
4081,47.2833
4082,43.3775
4083,43.1419
4084,46.862
4085,62.7188
4086,67.8158
4087,67.9143
4088,61.2771
4089,54.4713
4090,33.3716
4091,1.0738
4092,0.3076
4093,4.8774
4094,21.5629
4095,40.3965
4096,58.5192
4097,52.9155
4098,69.065
4099,92.8507
4100,99.5687
4101,88.0719
4102,70.0091
4103,64.5814
4104,58.9839
4105,50.8019
4106,49.4983
4107,48.2446
4108,48.8174
4109,58.7945
4110,55.2835
4111,60.6336
4112,56.0247
4113,41.5028
4114,40.3648
4115,61.5356
4116,92.5299
4117,89.9527
4118,100.6341
4119,94.6067
4120,79.0771
4121,85.8475
4122,80.7561
4123,85.8444
4124,84.2974
4125,72.2787
4126,64.5171
4127,55.8199
4128,54.1443
4129,44.0946
4130,41.3935
4131,44.0394
4132,50.1347
4133,59.6949
4134,57.116
4135,60.9515
4136,58.9416
4137,61.0123
4138,73.145
4139,80.6132
4140,75.0012
4141,85.1061
4142,105.041
4143,83.2094
4144,92.1338
4145,106.3146
4146,115.7013
4147,86.7382
4148,85.882
4149,73.3355
4150,65.6581
4151,53.2406
4152,44.6596
4153,69.3255
4154,53.6154
4155,44.113
4156,43.2167
4157,42.4109
4158,41.0455
4159,41.1339
4160,41.6542
4161,43.474
4162,60.274
4163,69.387
4164,78.5854
4165,86.0774
4166,86.6454
4167,90.0444
4168,88.5913
4169,83.7007
4170,91.6413
4171,94.5297
4172,93.5894
4173,76.86
4174,64.0433
4175,53.3794
4176,40.2028
4177,38.3239
4178,34.606
4179,32.8584
4180,32.2862
4181,33.3091
4182,34.8523
4183,35.507
4184,37.6856
4185,32.7031
4186,36.1949
4187,49.0316
4188,58.0003
4189,71.8565
4190,91.1858
4191,79.5061
4192,80.6406
4193,78.0131
4194,83.2927
4195,97.0755
4196,101.2829
4197,66.2573
4198,59.5923
4199,48.7301
4200,38.4668
4201,36.9439
4202,36.8197
4203,35.2498
4204,32.7455
4205,31.3752
4206,31.0065
4207,33.0035
4208,34.3938
4209,30.7989
4210,39.9775
4211,62.3283
4212,71.9148
4213,85.9738
4214,99.6993
4215,94.6591
4216,88.1304
4217,84.9189
4218,85.2971
4219,98.6455
4220,102.9114
4221,70.5867
4222,51.9317
4223,42.9321
4224,39.1021
4225,37.4831
4226,37.8807
4227,36.9383
4228,37.5673
4229,40.8016
4230,39.657
4231,37.9401
4232,33.7078
4233,33.0624
4234,39.3411
4235,49.622
4236,60.3058
4237,72.7243
4238,74.2817
4239,76.1359
4240,71.8114
4241,70.4815
4242,64.5173
4243,60.2426
4244,65.5228
4245,59.4302
4246,56.6357
4247,55.7511
4248,57.1179
4249,55.8857
4250,52.6749
4251,50.6063
4252,52.7131
4253,46.993
4254,43.4541
4255,46.7287
4256,44.0842
4257,51.373
4258,59.1734
4259,71.751
4260,87.001
4261,95.8462
4262,92.189
4263,81.1692
4264,70.1283
4265,59.1647
4266,57.8533
4267,57.1335
4268,58.9089
4269,56.9724
4270,55.0059
4271,56.4233
4272,60.5114
4273,58.5042
4274,57.009
4275,57.0544
4276,57.9197
4277,60.2711
4278,61.0821
4279,56.8906
4280,54.0591
4281,50.1877
4282,58.8913
4283,61.4225
4284,75.117
4285,75.5631
4286,72.7536
4287,69.2777
4288,68.5807
4289,63.3457
4290,63.369
4291,67.4011
4292,63.0355
4293,58.6024
4294,55.8178
4295,55.3991
4296,60.0666
4297,58.4222
4298,54.771
4299,51.07
4300,51.5686
4301,56.8073
4302,58.7347
4303,54.3252
4304,50.0702
4305,55.8038
4306,62.0862
4307,70.8818
4308,74.3478
4309,82.8635
4310,83.56
4311,84.9333
4312,83.5679
4313,84.0875
4314,84.9265
4315,85.586
4316,108.1021
4317,69.4154
4318,70.9485
4319,53.8919
4320,44.4195
4321,41.0076
4322,37.1858
4323,36.0775
4324,37.3058
4325,36.6715
4326,37.7408
4327,38.4219
4328,41.2268
4329,43.2717
4330,53.6281
4331,68.9774
4332,97.3514
4333,89.7903
4334,110.5808
4335,82.7776
4336,79.8806
4337,81.8941
4338,81.6086
4339,81.4467
4340,112.9526
4341,69.3676
4342,64.3197
4343,54.5194
4344,58.1113
4345,42.7771
4346,40.828
4347,39.402
4348,41.0776
4349,49.142
4350,51.5328
4351,46.8053
4352,43.9628
4353,40.8063
4354,60.0152
4355,71.6684
4356,77.723
4357,78.0931
4358,78.0002
4359,72.5651
4360,73.1747
4361,74.3679
4362,68.5865
4363,67.8761
4364,76.7291
4365,63.4588
4366,65.9984
4367,62.1604
4368,51.5745
4369,45.9084
4370,42.4524
4371,38.7385
4372,40.9485
4373,46.342
4374,49.2316
4375,56.5056
4376,51.5741
4377,45.96
4378,64.2822
4379,71.4646
4380,78.7655
4381,73.7933
4382,78.3469
4383,70.8358
4384,61.2974
4385,56.4715
4386,56.0388
4387,58.4995
4388,60.2391
4389,60.9552
4390,71.8951
4391,66.7828
4392,58.8653
4393,55.2175
4394,53.4404
4395,52.2688
4396,50.197
4397,41.662
4398,36.8658
4399,36.2247
4400,33.2816
4401,35.8794
4402,40.9913
4403,51.6004
4404,53.5853
4405,57.5563
4406,55.3933
4407,51.0918
4408,48.201
4409,38.9833
4410,34.489
4411,44.9204
4412,45.4604
4413,51.7063
4414,53.2298
4415,53.002
4416,50.4501
4417,46.1563
4418,44.2635
4419,37.9598
4420,34.8746
4421,35.6281
4422,34.2036
4423,33.4273
4424,27.2669
4425,26.2769
4426,31.9465
4427,40.6377
4428,54.1435
4429,58.922
4430,67.8494
4431,62.7355
4432,59.0616
4433,48.5646
4434,51.3038
4435,51.4144
4436,53.2548
4437,49.632
4438,42.586
4439,36.2234
4440,35.8005
4441,38.4024
4442,35.824
4443,34.3216
4444,33.234
4445,34.8364
4446,33.9824
4447,35.3104
4448,25.7143
4449,7.3379
4450,32.3347
4451,43.9578
4452,57.8344
