H2O Saturated Vapor Density
D / (mol/dm^3) T / K Author
0.000960263 293.142600000 OSBORNE et al. (1939) 058
0.00127916 298.141500000 OSBORNE et al. (1939) 059
0.00127921 298.141500000 OSBORNE et al. (1939) 060
0.00127926 298.141500000 OSBORNE et al. (1939) 061
0.00127933 298.141500000 OSBORNE et al. (1939) 062
0.00127941 298.141500000 OSBORNE et al. (1939) 063
0.00127942 298.141500000 OSBORNE et al. (1939) 064
0.00127948 298.141500000 OSBORNE et al. (1939) 065
0.0012796 298.141500000 OSBORNE et al. (1939) 066
0.00127962 298.141500000 OSBORNE et al. (1939) 067
0.00127969 298.141500000 OSBORNE et al. (1939) 068
0.00168605 303.140600000 OSBORNE et al. (1939) 069
0.00168609 303.140600000 OSBORNE et al. (1939) 070
0.00168616 303.140600000 OSBORNE et al. (1939) 071
0.00168618 303.140600000 OSBORNE et al. (1939) 072
0.00168627 303.140600000 OSBORNE et al. (1939) 073
0.00168629 303.140600000 OSBORNE et al. (1939) 074
0.00168638 303.140600000 OSBORNE et al. (1939) 075
0.00168649 303.140600000 OSBORNE et al. (1939) 076
0.00168654 303.140600000 OSBORNE et al. (1939) 077
0.00168669 303.140600000 OSBORNE et al. (1939) 078
0.00168684 303.140600000 OSBORNE et al. (1939) 079
0.00284023 313.139700000 OSBORNE et al. (1939) 080
0.00284051 313.139700000 OSBORNE et al. (1939) 081
0.00284058 313.139700000 OSBORNE et al. (1939) 082
0.00284058 313.139700000 OSBORNE et al. (1939) 083
0.00284067 313.139700000 OSBORNE et al. (1939) 084
0.00284068 313.139700000 OSBORNE et al. (1939) 085
0.00284085 313.139700000 OSBORNE et al. (1939) 086
0.00284089 313.139700000 OSBORNE et al. (1939) 087
0.00284098 313.139700000 OSBORNE et al. (1939) 088
0.00284101 313.139700000 OSBORNE et al. (1939) 089
0.00460823 323.139600000 OSBORNE et al. (1939) 090
0.00460835 323.139600000 OSBORNE et al. (1939) 091
0.00460848 323.139600000 OSBORNE et al. (1939) 092
0.00460895 323.139600000 OSBORNE et al. (1939) 093
0.00460926 323.139600000 OSBORNE et al. (1939) 094
0.00460939 323.139600000 OSBORNE et al. (1939) 095
0.00460945 323.139600000 OSBORNE et al. (1939) 096
0.00460947 323.139600000 OSBORNE et al. (1939) 097
0.00460997 323.139600000 OSBORNE et al. (1939) 098
0.00461013 323.139600000 OSBORNE et al. (1939) 099
0.00461036 323.139600000 OSBORNE et al. (1939) 100
0.00722865 333.140400000 OSBORNE et al. (1939) 101
0.00722959 333.140400000 OSBORNE et al. (1939) 102
0.0072297 333.140400000 OSBORNE et al. (1939) 103
0.00723003 333.140400000 OSBORNE et al. (1939) 104
0.00723048 333.140400000 OSBORNE et al. (1939) 105
0.00723053 333.140400000 OSBORNE et al. (1939) 106
0.00723092 333.140400000 OSBORNE et al. (1939) 107
0.00723098 333.140400000 OSBORNE et al. (1939) 108
0.0109994 343.141900000 OSBORNE et al. (1939) 109
0.0109995 343.141900000 OSBORNE et al. (1939) 110
0.0109998 343.141900000 OSBORNE et al. (1939) 111
0.0109999 343.141900000 OSBORNE et al. (1939) 112
0.0110013 343.141900000 OSBORNE et al. (1939) 113
0.0110013 343.141900000 OSBORNE et al. (1939) 114
0.0162786 353.144100000 OSBORNE et al. (1939) 115
0.016279 353.144100000 OSBORNE et al. (1939) 116
0.0162794 353.144100000 OSBORNE et al. (1939) 117
0.0162799 353.144100000 OSBORNE et al. (1939) 118
0.01628 353.144100000 OSBORNE et al. (1939) 119
0.0162802 353.144100000 OSBORNE et al. (1939) 120
0.0162805 353.144100000 OSBORNE et al. (1939) 121
0.0162806 353.144100000 OSBORNE et al. (1939) 122
0.016281 353.144100000 OSBORNE et al. (1939) 123
0.0162814 353.144100000 OSBORNE et al. (1939) 124
0.0162831 353.144100000 OSBORNE et al. (1939) 125
0.0234993 363.146800000 OSBORNE et al. (1939) 126
0.0234995 363.146800000 OSBORNE et al. (1939) 127
0.0235012 363.146800000 OSBORNE et al. (1939) 128
0.0235012 363.146800000 OSBORNE et al. (1939) 129
0.0331638 373.150000000 OSBORNE et al. (1939) 130
0.0331655 373.150000000 OSBORNE et al. (1939) 131
0.0331657 373.150000000 OSBORNE et al. (1939) 132
0.0331673 373.150000000 OSBORNE et al. (1939) 133
0.0331678 373.150000000 OSBORNE et al. (1939) 134
