H2O CP.txt
Density mol/dm3  T / K   CP
17.147084   651.932374    1781.569486
17.119913   652.012362    1938.457249
17.082539   652.122345    2124.005502
17.038380   652.252226    2381.962521
16.994153   652.382207    2599.190623
16.977133   652.432199    2701.016521
16.953294   652.502189    2731.941530
16.929442   652.572178    2740.237561
16.926034   652.582177    2731.941530
16.922625   652.592175    2736.466965
16.905577   652.642168    2744.764797
16.898755   652.662165    2744.764797
16.878283   652.722156    2715.347666
16.850969   652.802144    2648.972213
16.816795   652.902129    2553.934468
16.775736   653.022111    2381.209483
16.741474   653.122096    2250.721294
16.696868   653.252076    2060.647606
16.662501   653.352061    1928.651539
16.579806   653.592024    1674.465115
16.521029   653.761998    1510.034359
16.395937   654.121943    1246.042225
16.290956   654.421897    1090.664142
16.174624   654.751746    944.336929
15.960250   655.351652    778.400097
15.818642   655.741590    699.277040
15.682374   656.111532    641.651602
41.296401   579.054391    95.565592
40.202636   589.675717    99.712707
38.841145   601.476444    106.200005
37.458600   611.876603    114.346509
36.440849   618.526408    121.285990
35.311625   624.915939    130.713380
22.571173   629.285565    139.086877
33.225815   634.025108    152.284862
23.715263   638.594516    170.161412
24.366655   641.964019    191.280711
21.824880   644.373617    212.475674
20.677927   646.273369    237.443034
20.217108   647.253137    254.262088
19.520918   648.942904    293.106609
19.171999   649.872673    323.728961
18.877957   650.692555    358.727223
18.562936   651.602422    413.713424
18.290154   652.412202    488.008389
18.157485   652.812142    536.206437
18.039031   653.172088    593.983203
17.927864   653.512036    657.793282
17.817280   653.851984    740.686935
17.700719   654.211929    843.265871
17.568492   654.621866    992.610641
17.414230   655.101691    1207.576025
17.314765   655.411642    1365.216826
17.224986   655.691598    1496.458053
17.180103   655.831576    1535.680895
17.173691   655.851573    1540.206330
17.170485   655.861571    1544.731765
17.164073   655.881568    1556.798392
17.109564   656.051541    1571.884377
17.077492   656.151525    1579.427370
17.077492   656.151525    1583.952805
17.061453   656.201517    1572.639217
17.051829   656.231512    1576.409813
17.019740   656.331496    1559.815949
16.965160   656.501469    1527.383062
16.961949   656.511468    1523.612467
16.939461   656.581456    1509.281321
16.868726   656.801421    1423.294447
16.846198   656.871410    1411.980859
16.633160   657.531203    1148.743564
16.460899   658.061116    980.542213
16.287249   658.591028    848.546146
16.081881   659.210925    729.222018
15.798809   660.050683    613.592822
15.480513   660.970526    529.794803
15.132912   661.940258    462.287991
14.753954   662.950080    409.867164
13.983636   664.829641    345.678764
9.6   668.158817    269.724592
10.180499   671.418077    228.089507
8.651901   675.916947    191.055520
7.898942   680.435657    165.335122
7.414028   684.884429    148.741259
6.944430   690.902756    131.695212
6.595028   696.861005    119.324128
6.015477   710.636685    100.316218
5.728320   719.873816    91.793195
5.505304   728.481186    85.684218
5.258789   739.757782    79.123057
5.048693   751.104571    73.842782
4.863902   762.641657    69.845194
4.694241   774.719858    66.751973
29.154811   647.073162    185.850909
28.164331   651.822390    225.374606
20.136400   656.201517    300.422609
19.352842   658.481047    373.058368
19.304354   658.631022    378.035987
19.028780   659.500776    419.746737
19.003878   659.580763    423.216477
18.661831   660.700572    492.685152
18.509622   661.210485    532.961887
18.506656   661.220483    531.681001
18.109264   662.580145    644.216976
17.939862   663.170040    687.736459
17.828663   663.559971    716.323086
17.749186   663.839820    733.974446
17.695376   664.029786    741.893958
17.638846   664.229750    752.831027
17.554243   664.529695    763.314111
17.554243   664.529695    761.806233
17.503581   664.709663    765.576829
17.441751   664.929622    767.086508
17.368789   665.189575    764.823791
17.293129   665.459525    762.561073
17.245537   665.629494    755.771119
17.144872   665.989327    741.063454
17.049850   666.329264    725.300094
16.901773   666.859164    697.316978
16.708853   667.549034    650.778137
16.394597   668.668719    578.218042
16.179916   669.428571    531.151353
15.834552   670.638233    471.113670
15.515391   671.738013    423.895653
15.096804   673.147626    378.639498
14.680287   674.507244    342.360352
14.303316   675.696994    316.036442
13.802071   677.216568    287.449815
1.194441   635.234988    49.405071
1.168134   646.193386    48.574567
1.138087   659.550776    46.991025
1.089746   683.094961    45.708338
1.035326   712.995985    44.124796
0.992598   739.337848    43.369956
0.902608   804.638033    42.389926
0.858343   842.578507    42.162933
0.831060   868.220931    42.162933
33.994689   619.676334    246.719095
33.809122   620.276292    234.122820
33.398128   621.496205    215.266239
32.958298   622.636121    203.048284
4.451891   623.446059    194.222604
4.415302   624.535974    185.323062
16.303808   637.884601    583.498317
16.100506   638.314553    527.380757
15.939983   638.644516    487.404877
15.880474   638.764502    476.392144
15.656136   639.204452    441.620875
15.408962   639.664399    408.132293
15.138580   640.134344    383.618918
14.836369   640.614187    359.105543
14.606583   640.944148    346.509268
14.282688   641.354099    329.764076
13.546944   642.024018    309.172625
5.924809   649.692806    191.808558
5.769894   652.112354    176.045199
5.447466   658.431063    146.554205
16.563254   647.483113    2216.025689
16.517499   647.603097    1906.022561
16.475427   647.713082    1675.972993
15.958058   649.032899    792.731242
15.527225   650.072651    592.549187
14.922409   651.412458    460.100937
14.460771   652.322223    404.662553
13.864376   653.332071    361.896108
13.445079   653.921981    336.703557
12.534754   654.851738    310.831831
9.489535   655.811587    289.336013
6.935682   665.189584    180.419306
6.823562   666.339271    174.461657
6.591031   669.098645    163.221931
5.032303   709.786955    87.267760
0.515042   487.358149    55.514048
0.502932   496.511590    51.516460
0.490472   506.565238    48.801559
0.468862   525.671603    45.407483
0.432630   563.181577    42.238597
0.410258   590.385807    40.806384
0.385614   624.635966    39.748887
44.623529   525.371598    68.638171
0.986678   528.122442    66.526782
0.965305   536.024783    62.001346
0.941582   545.427468    57.776766
0.902653   562.431467    52.496491
0.854839   586.335357    48.347575
0.853264   587.185448    47.895392
0.809942   612.286584    45.331819
0.770649   638.234562    43.746475
0.762435   644.083661    43.596949
42.577537   550.678770    82.969317
1.475372   551.378983    82.214477
1.471875   552.129097    81.459637
1.469327   552.679207    80.479607
1.467713   553.029313    80.328278
1.458377   555.079850    78.443881
1.457927   555.179852    78.292553
1.443749   558.380606    74.898477
1.420187   563.931787    70.673896
1.404348   567.832532    67.883331
