,T [C],P [bar],b [mol/kg],gamma[-],phi [-],Sx/R [-],Hx/RT [-],Cp_x/R [-],rho [g/cm^3],s [J/g.K],h [J/g]
592,150,4.8,0.75,0.57,0.897,2.393,1.475,7.52,0.9473,5.226,-1311.5
593,160,6.2,0.75,0.556,0.89,2.577,1.623,8.32,0.93826,5.321,-1270.5
594,170,7.9,0.75,0.542,0.883,2.776,1.783,9.26,0.92884,5.415,-1229.3
595,180,10.0,0.75,0.527,0.876,2.992,1.958,10.36,0.91902,5.507,-1187.9
596,190,12.5,0.75,0.511,0.867,3.229,2.151,11.66,0.90879,5.597,-1146.2
597,200,15.5,0.75,0.494,0.859,3.489,2.364,13.22,0.89812,5.686,-1104.2
598,210,19.1,0.75,0.477,0.849,3.779,2.602,15.13,0.88699,5.714,-1051.8
599,220,23.2,0.75,0.46,0.839,4.103,2.872,17.47,0.87537,5.861,-1019.1
600,230,28.0,0.75,0.441,0.828,4.47,3.18,20.41,0.86323,5.946,-975.8
601,240,33.4,0.75,0.423,0.816,4.89,3.536,24.11,0.85053,6.031,-932.1
602,250,39.7,0.75,0.403,0.803,5.377,3.953,29.08,0.83723,6.115,-887.8
603,260,46.9,0.75,0.382,0.789,5.952,4.452,35.65,0.82328,6.199,-842.8
604,270,55.0,0.75,0.361,0.774,5.642,5.058,44.65,0.80865,6.282,-797.1
605,280,64.1,0.75,0.339,0.757,7.489,5.813,57.35,0.79327,6.364,-750.7
606,290,74.4,0.75,0.316,0.738,8.557,6.777,75.89,0.77712,6.447,-703.3
607,300,85.8,0.75,0.292,0.717,9.946,8.048,103.99,0.76015,6.529,-655.1
608,0,200.0,0.75,0.657,0.917,0.246,-0.429,7.14,1.0412,3.473,-1893.7
609,10,200.0,0.75,0.665,0.925,0.465,-0.2,5.25,1.03939,3.614,-1854.7
610,20,200.0,0.75,0.67,0.929,0.63,-0.031,4.36,1.03672,3.75,-1815.5
611,25,200.0,0.75,0.671,0.931,0.701,0.04,4.1,1.03511,3.816,-1795.9
612,30,200.0,0.75,0.671,0.932,0.768,0.106,3.92,1.03335,3.882,-1776.2
613,40,200.0,0.75,0.67,0.934,0.891,0.224,3.72,1.02937,4.01,-1736.7
614,50,200.0,0.75,0.668,0.934,1.007,0.331,3.67,1.02487,4.134,-1697.2
615,60,200.0,0.75,0.664,0.934,1.119,0.432,3.71,1.01988,4.254,-1657.7
616,70,200.0,0.75,0.658,0.932,1.231,0.529,3.83,1.0144,4.371,-1618.2
617,80,200.0,0.75,0.651,0.931,1.343,0.625,4.0,1.00855,4.485,-1578.6
618,90,200.0,0.75,0.644,0.928,1.458,0.721,4.23,1.00233,4.596,-1538.9
619,100,200.0,0.75,0.635,0.925,1.576,0.818,4.51,0.99573,4.704,-1499.1
620,110,200.0,0.75,0.625,0.921,1.7,0.919,4.84,0.98879,4.809,-1459.3
621,120,200.0,0.75,0.615,0.917,1.829,1.023,5.22,0.98151,4.912,-1419.4
622,130,200.0,0.75,0.604,0.912,1.966,1.133,5.66,0.97389,5.012,-1379.3
623,140,200.0,0.75,0.592,0.907,2.11,1.248,6.16,0.96595,5.111,-1339.2
624,150,200.0,0.75,0.58,0.902,2.264,1.371,6.73,0.95766,5.207,-1298.9
625,160,200.0,0.75,0.567,0.896,2.429,1.502,7.37,0.94904,5.301,-1258.5
626,170,200.0,0.75,0.553,0.889,2.605,1.642,8.12,0.94007,5.394,-1218.0
627,180,200.0,0.75,0.539,0.882,2.796,1.794,8.97,0.93075,5.485,-1177.3
628,190,200.0,0.75,0.524,0.874,3.002,1.96,9.96,0.92104,5.574,-1136.4
629,200,200.0,0.75,0.508,0.866,3.227,2.141,11.12,0.91093,5.662,-1095.2
630,210,200.0,0.75,0.492,0.857,3.473,2.34,12.49,0.9004,5.749,-1053.8
631,220,200.0,0.75,0.475,0.847,3.745,2.562,14.14,0.88942,5.834,-1012.1
632,230,200.0,0.75,0.458,0.837,4.048,2.812,16.15,0.87794,5.918,-970.1
633,240,200.0,0.75,0.44,0.826,4.39,3.095,18.66,0.86592,6.002,-927.7
634,250,200.0,0.75,0.421,0.814,4.78,3.422,21.86,0.85332,6.085,-884.8
635,260,200.0,0.75,0.402,0.801,5.231,3.805,26.03,0.84008,6.167,-841.3
636,270,200.0,0.75,0.382,0.787,5.764,4.263,31.65,0.82612,6.248,-797.3
637,280,200.0,0.75,0.361,0.772,6.408,4.825,39.45,0.81138,6.33,-752.5
638,290,200.0,0.75,0.338,0.755,7.209,5.533,50.73,0.79577,6.412,-706.9
639,300,200.0,0.75,0.315,0.735,8.241,6.46,67.81,0.77921,6.494,-660.3
640,0,400.0,0.75,0.665,0.922,0.289,-0.372,6.43,1.05005,3.471,-1875.3
641,10,400.0,0.75,0.672,0.928,0.487,-0.165,4.78,1.04783,3.609,-1836.8
642,20,400.0,0.75,0.676,0.933,0.638,-0.011,4.01,1.04489,3.744,-1798.0
643,25,400.0,0.75,0.677,0.934,0.704,0.055,3.79,1.04319,3.81,-1778.5
644,30,400.0,0.75,0.677,0.935,0.766,0.115,3.64,1.04134,3.875,-1759.0
645,40,400.0,0.75,0.676,0.936,0.881,0.225,3.47,1.03727,4.002,-1719.9
646,50,400.0,0.75,0.613,0.937,0.989,0.324,3.42,1.03272,4.125,-1680.7
647,60,400.0,0.75,0.669,0.936,1.093,0.417,3.46,1.02775,4.244,-1641.5
648,70,400.0,0.75,0.664,0.935,1.197,0.508,3.57,1.02236,4.36,-1602.2
649,80,400.0,0.75,0.657,0.933,1.302,0.596,3.73,1.01661,4.473,-1562.9
650,90,400.0,0.75,0.65,0.931,1.409,0.685,3.93,1.01053,4.583,-1523.5
651,100,400.0,0.75,0.641,0.928,1.519,0.776,4.18,1.00411,4.69,-1484.1
652,110,400.0,0.75,0.632,0.924,1.633,0.868,4.47,0.99738,4.795,-1444.6
653,120,400.0,0.75,0.623,0.92,1.752,0.964,4.8,0.99034,4.897,-1405.0
654,130,400.0,0.75,0.612,0.916,1.878,1.063,5.17,0.98301,4.996,-1365.3
655,140,400.0,0.75,0.601,0.911,2.009,1.168,5.59,0.97538,5.094,-1325.5
656,150,400.0,0.75,0.589,0.906,2.149,1.278,6.07,0.96746,5.189,-1285.7
657,160,400.0,0.75,0.577,0.9,2.296,1.394,6.59,0.95925,5.283,-1245.7
658,170,400.0,0.75,0.564,0.894,2.453,1.518,7.19,0.95074,5.374,-1205.6
659,180,400.0,0.75,0.55,0.888,2.621,1.651,7.85,0.94193,5.464,-1165.5
660,190,400.0,0.75,0.536,0.881,2.801,1.793,8.61,0.9328,5.552,-1125.1
661,200,400.0,0.75,0.522,0.873,2.993,1.945,9.46,0.92334,5.638,-1084.6
662,210,400.0,0.75,0.506,0.865,3.201,2.111,10.44,0.91354,5.723,-1043.9
663,220,400.0,0.75,0.491,0.856,3.426,2.291,11.57,0.90337,5.807,-1003.1
664,230,400.0,0.75,0.475,0.847,3.671,2.488,12.89,0.89281,5.89,-961.9
665,240,400.0,0.75,0.458,0.837,3.94,2.705,14.45,0.88184,5.971,-920.5
666,250,400.0,0.75,0.441,0.826,4.236,2.947,16.34,0.87042,6.052,-878.8
667,260,400.0,0.75,0.424,0.815,4.567,3.22,18.65,0.85851,6.131,-836.8
668,270,400.0,0.75,0.406,0.802,4.939,3.529,21.56,0.84607,6.21,-794.3
669,280,400.0,0.75,0.387,0.789,5.365,3.888,25.28,0.83306,6.288,-751.4
670,290,400.0,0.75,0.368,0.775,5.86,4.309,30.2,0.81941,6.366,-707.9
671,300,400.0,0.75,0.348,0.759,6.447,4.816,36.89,0.80508,6.444,-663.9
672,0,600.0,0.75,0.672,0.926,0.328,-0.32,5.79,1.05853,3.467,-1857.4
673,10,600.0,0.75,0.679,0.932,0.507,-0.132,4.37,1.05594,3.604,-1819.2
674,20,600.0,0.75,0.682,0.936,0.646,0.009,3.71,1.05276,3.738,-1780.7
675,25,600.0,0.75,0.682,0.937,0.707,0.069,3.51,1.05097,3.803,-1761.4
676,30,600.0,0.75,0.682,0.938,0.764,0.125,3.38,1.04905,3.867,-1742.0
677,40,600.0,0.75,0.681,0.939,0.871,0.226,3.24,1.04488,3.993,-1703.2
678,50,600.0,0.75,0.678,0.939,0.912,0.318,3.2,1.04029,4.116,-1664.3
679,60,600.0,0.75,0.674,0.939,1.07,0.405,3.23,1.03531,4.234,-1625.3
680,70,600.0,0.75,0.669,0.937,1.167,0.488,3.34,1.02998,4.35,-1586.3
681,80,600.0,0.75,0.663,0.935,1.265,0.571,3.48,1.02431,4.462,-1541.3
682,90,600.0,0.75,0.656,0.933,1.365,0.654,3.67,1.01834,4.571,-1508.2
683,100,600.0,0.75,0.648,0.93,1.467,0.738,3.89,1.01206,4.677,-1469.0
684,110,600.0,0.75,0.639,0.927,1.573,0.823,4.15,1.00549,4.781,-1429.8
685,120,600.0,0.75,0.63,0.924,1.684,0.911,4.44,0.99865,4.882,-1390.5
686,130,600.0,0.75,0.619,0.919,1.799,1.003,4.76,0.99155,4.981,-1351.1
687,140,600.0,0.75,0.609,0.915,1.92,1.098,5.12,0.98418,5.078,-1311.7
688,150,600.0,0.75,0.598,0.91,2.048,1.198,5.53,0.97655,5.173,-1272.2
689,160,600.0,0.75,0.586,0.905,2.182,1.303,5.97,0.96867,5.265,-1232.6
690,170,600.0,0.75,0.574,0.899,2.323,1.413,6.46,0.96053,5.356,-1192.9
691,180,600.0,0.75,0.561,0.893,2.473,1.53,6.99,0.95212,5.444,-1153.2
692,190,600.0,0.75,0.548,0.886,2.632,1.655,7.59,0.94345,5.531,-1113.3
693,200,600.0,0.75,0.534,0.879,2.801,1.787,8.24,0.9345,5.617,-1073.3
694,210,600.0,0.75,0.52,0.872,2.981,1.928,8.98,0.92526,5.7,-1033.2
695,220,600.0,0.75,0.505,0.864,3.173,2.079,9.79,0.91512,5.783,-993.0
696,230,600.0,0.75,0.49,0.855,3.379,2.241,10.72,0.90587,5.864,-952.6
697,240,600.0,0.75,0.475,0.846,3.6,2.417,11.77,0.89568,5.944,-912.0
698,250,600.0,0.75,0.459,0.836,3.839,2.607,12.99,0.88514,6.023,-871.2
699,260,600.0,0.75,0.442,0.826,4.098,2.814,14.41,0.87421,6.1,-830.2
700,270,600.0,0.75,0.426,0.815,4.381,3.043,16.1,0.86287,6.177,-788.9
701,280,600.0,0.75,0.409,0.803,4.692,3.297,18.16,0.85108,6.253,-747.4
702,290,600.0,0.75,0.391,0.79,5.039,3.583,20.7,0.83879,6.328,-705.5
703,300,600.0,0.75,0.374,0.777,5.431,3.908,23.93,0.82591,6.402,-663.3
704,0,800.0,0.75,0.679,0.93,0.363,-0.212,5.24,1.06666,3.463,-1839.7
705,10,800.0,0.75,0.685,0.935,0.526,-0.102,4.0,1.06376,3.599,-1801.8
706,20,800.0,0.75,0.687,0.938,0.654,0.027,3.43,1.06035,3.731,-1763.7
707,25,800.0,0.75,0.688,0.94,0.71,0.083,3.26,1.05848,3.796,-1744.5
708,30,800.0,0.75,0.688,0.94,0.764,0.134,3.15,1.0565,3.866,-1725.2
709,40,800.0,0.75,0.686,0.941,0.863,0.228,3.02,1.05223,3.985,-1686.6
710,50,800.0,0.75,0.683,0.941,0.958,0.314,2.99,1.04759,4.107,-1648.0
711,60,800.0,0.75,0.679,0.941,1.049,0.394,3.02,1.04261,4.225,-1609.3
712,70,800.0,0.75,0.674,0.939,1.139,0.471,3.13,1.0373,4.34,-1570.5
713,80,800.0,0.75,0.668,0.938,1.231,0.549,3.27,1.03169,4.451,-1531.7
714,90,800.0,0.75,0.661,0.935,1.325,0.626,3.44,1.0258,4.559,-1492.9
715,100,800.0,0.75,0.653,0.933,1.421,0.704,3.64,1.01962,4.665,-1454.0
716,110,800.0,0.75,0.645,0.93,1.52,0.783,3.87,1.01319,4.768,-1415.0
717,110,800.0,0.75,0.645,0.93,1.52,1.324,3.87,1.01319,4.768,-1415.0
718,120,800.0,0.75,0.636,0.926,1.623,0.865,4.13,1.00651,4.869,-1376.0
719,130,800.0,0.75,0.626,0.923,1.73,0.95,4.42,0.99958,4.967,-1336.9
720,140,800.0,0.75,0.616,0.918,1.842,1.037,4.73,0.99242,5.063,-1297.7
721,150,800.0,0.75,0.606,0.914,1.96,1.129,5.08,0.98502,5.157,-1258.5
722,160,800.0,0.75,0.594,0.909,2.083,1.224,5.46,0.9774,5.248,-1219.2
723,180,800.0,0.75,0.571,0.898,2.348,1.43,6.32,0.96146,5.426,-1140.5
724,190,800.0,0.75,0.558,0.892,2.491,1.54,6.8,0.95314,5.512,-1101.1
725,200,800.0,0.75,0.545,0.885,2.642,1.657,7.33,0.94459,5.597,-1061.6
726,210,800.0,0.75,0.531,0.878,2.801,1.78,7.9,0.9358,5.679,-1022.0
727,220,800.0,0.75,0.518,0.871,2.969,1.911,8.53,0.92675,5.761,-982.3
728,230,800.0,0.75,0.503,0.863,3.147,2.049,9.22,0.91744,5.841,-942.4
729,240,800.0,0.75,0.489,0.854,3.336,2.196,9.98,0.90786,5.919,-902.5
730,250,800.0,0.75,0.474,0.845,3.536,2.353,10.84,0.89798,5.997,-862.4
731,260,800.0,0.75,0.459,0.836,3.75,2.521,11.81,0.8878,6.073,-822.2
732,270,800.0,0.75,0.443,0.825,3.98,2.702,12.93,0.8773,6.148,-781.9
733,280,800.0,0.75,0.427,0.814,4.227,2.898,14.25,0.86644,6.222,-741.4
734,290,800.0,0.75,0.411,0.803,4.497,3.114,15.85,0.85519,6.294,-700.7
735,300,800.0,0.75,0.395,0.79,4.792,3.353,17.85,0.84352,6.366,-659.9
736,0,1000.0,0.75,0.686,0.934,0.394,-0.228,4.75,1.07444,3.458,-1822.4
737,10,1000.0,0.75,0.691,0.938,0.543,-0.074,3.68,1.07128,3.593,-1784.7
738,20,1000.0,0.75,0.693,0.941,0.661,0.045,3.18,1.06769,3.725,-1746.8
739,25,1000.0,0.75,0.693,0.942,0.714,0.096,3.04,1.06574,3.789,-1727.7
740,30,1000.0,0.75,0.693,0.943,0.763,0.144,2.94,1.0637,3.853,-1708.6
741,40,1000.0,0.75,0.691,0.943,0.856,0.231,2.83,1.05934,3.977,-1670.2
742,50,1000.0,0.75,0.688,0.943,0.945,0.311,2.8,1.05466,4.098,-1631.8
743,60,1000.0,0.75,0.684,0.943,1.03,0.385,2.82,1.04966,4.216,-1593.3
744,70,1000.0,0.75,0.679,0.941,1.114,0.456,2.95,1.04435,4.329,-1554.7
745,80,1000.0,0.75,0.673,0.94,1.201,0.529,3.08,1.03878,4.44,-1516.2
746,90,1000.0,0.75,0.666,0.938,1.289,0.601,3.24,1.03294,4.548,-1477.5
747,100,1000.0,0.75,0.659,0.935,1.379,0.674,3.43,1.02685,4.653,-1438.9
748,110,1000.0,0.75,0.651,0.932,1.473,0.749,3.64,1.02051,4.756,-1400.1
749,120,1000.0,0.75,0.642,0.929,1.569,0.825,3.87,1.01394,4.856,-1361.3
750,130,1000.0,0.75,0.633,0.925,1.67,0.904,4.13,1.00715,4.953,-1322.5
751,140,1000.0,0.75,0.623,0.921,1.714,0.986,4.41,1.00015,5.048,-1283.6
752,150,1000.0,0.75,0.613,0.917,1.884,1.07,4.72,0.99293,5.141,-1244.7
753,160,1000.0,0.75,0.602,0.912,1.998,1.158,5.05,0.9855,5.233,-1205.1
754,170,1000.0,0.75,0.591,0.907,2.117,1.25,5.4,0.97787,5.322,-1166.7
755,180,1000.0,0.75,0.579,0.902,2.242,1.346,5.78,0.97004,5.409,-1127.7
756,190,1000.0,0.75,0.567,0.896,2.372,1.446,6.19,0.962,5.494,-1088.6
757,200,1000.0,0.75,0.555,0.89,2.509,1.551,6.63,0.95375,5.578,-1049.4
758,210,1000.0,0.75,0.542,0.883,2.652,1.661,7.09,0.94529,5.66,-1010.2
759,220,1000.0,0.75,0.529,0.876,2.803,1.776,7.6,0.93662,5.74,-971.0
760,230,1000.0,0.75,0.515,0.869,2.961,1.897,8.14,0.92772,5.819,-931.7
761,240,1000.0,0.75,0.501,0.861,3.127,2.024,8.73,0.9186,5.897,-892.3
762,250,1000.0,0.75,0.487,0.853,3.301,2.159,9.39,0.90924,5.973,-852.8
763,260,1000.0,0.75,0.473,0.844,3.486,2.301,10.12,0.89963,6.048,-813.2
764,270,1000.0,0.75,0.458,0.834,3.681,2.452,10.96,0.88976,6.121,-773.6
765,280,1000.0,0.75,0.443,0.824,3.89,2.615,11.94,0.87961,6.194,-733.9
766,290,1000.0,0.75,0.428,0.813,4.114,2.791,13.15,0.86916,6.265,-694.2
767,300,1000.0,0.75,0.412,0.801,4.359,2.984,14.69,0.85839,6.335,-654.4
768,0,1.0,1,0.635,0.917,0.071,-0.669,9.63,1.04218,3.457,-1885.9
769,10,1.0,1,0.648,0.927,0.363,-0.359,6.94,1.04047,3.591,-1847.0
770,20,1.0,1,0.655,0.934,0.579,-0.134,5.66,1.03783,3.732,-1808.0
771,25,1.0,1,0.657,0.935,0.671,-0.041,5.28,1.03623,3.798,-1788.4
772,30,1.0,1,0.659,0.938,0.757,0.045,5.01,1.03445,3.864,-1768.8
773,40,1.0,1,0.659,0.941,0.914,0.198,4.7,1.03044,3.991,-1729.6
774,50,1.0,1,0.657,0.942,1.06,0.335,4.59,1.02588,4.114,-1690.4
775,60,1.0,1,0.653,0.942,1.199,0.463,4.61,1.02081,4.234,-1651.1
776,60,1.0,1,0.653,0.942,1.199,0.463,4.61,1.02081,4.463,-1651.1
777,70,1.0,1,0.647,0.941,1.336,0.584,4.73,1.01515,4.35,-1611.7
778,90,1.0,1,0.631,0.935,1.616,0.824,5.2,1.00276,4.574,-1532.9
779,100,1.0,1,0.622,0.933,1.762,0.946,5.55,0.99598,4.681,-1493.4
780,110,1.4,1,0.611,0.928,1.914,1.071,5.96,0.98885,4.786,-1453.8
781,120,2.0,1,0.599,0.923,2.073,1.201,6.45,0.98136,4.888,-1414.0
782,130,2.7,1,0.586,0.918,2.242,1.338,7.02,0.97352,4.988,-1374.2
783,140,3.6,1,0.573,0.912,2.421,1.483,7.68,0.96533,5.086,-1334.2
784,150,4.8,1,0.559,0.905,2.612,1.637,8.44,0.95679,5.181,-1294.0
785,160,6.2,1,0.544,0.898,2.818,1.804,9.33,0.94789,5.275,-1253.7
786,170,7.9,1,0.528,0.89,3.041,1.983,10.36,0.93861,5.367,-1213.2
787,180,10.0,1,0.511,0.881,3.283,2.179,11.57,0.92895,5.458,-1172.5
788,190,12.5,1,0.494,0.872,3.547,2.394,13.01,0.91889,5.546,-1131.5
789,200,15.5,1,0.477,0.862,3.838,2.632,14.73,0.90841,5.634,-1090.3
790,210,19.1,1,0.459,0.852,4.16,2.897,16.81,0.89748,5.72,-1048.7
791,220,23.2,1,0.44,0.84,4.521,3.197,19.39,0.88607,5.805,-1006.8
792,230,28.0,1,0.42,0.828,4.928,3.538,22.61,0.87416,5.889,-964.4
793,240,33.4,1,0.4,0.815,5.393,3.932,26.73,0.86171,5.972,-921.6
794,250,39.7,1,0.38,0.801,5.931,4.393,32.11,0.84868,6.054,-878.3
795,260,46.9,1,0.358,0.785,6.565,4.943,39.28,0.83503,6.136,-834.3
796,270,55.0,1,0.337,0.761,7.326,5.611,49.13,0.82073,6.217,-789.8
797,280,64.1,1,0.314,0.75,8.258,6.44,63.02,0.80574,6.297,-744.5
798,290,74.4,1,0.29,0.73,9.433,7.5,83.31,0.79005,6.377,-698.5
799,300,85.8,1,0.266,0.707,10.958,8.894,114.09,0.77365,6.457,-651.7
800,0,200.0,1,0.645,0.923,0.136,-0.586,8.6,1.05116,3.454,-1867.6
801,10,200.0,1,0.656,0.932,0.398,-0.308,6.28,1.04904,3.593,-1829.2
802,20,200.0,1,0.663,0.938,0.595,-0.104,5.18,1.04614,3.727,-1790.6
803,25,200.0,1,0.664,0.94,0.68,-0.018,4.86,1.04444,3.792,-1771.2
804,30,200.0,1,0.665,0.942,0.759,0.06,4.63,1.0426,3.857,-1751.8
805,40,200.0,1,0.666,0.944,0.904,0.201,4.36,1.0385,3.983,-1712.9
806,50,200.0,1,0.663,0.945,1.039,0.328,4.27,1.03391,4.105,-1674.0
807,60,200.0,1,0.659,0.945,1.169,0.447,4.29,1.02887,4.224,-1635.0
808,70,200.0,1,0.654,0.944,1.298,0.56,4.4,1.02335,4.339,-1596.0
809,80,200.0,1,0.647,0.942,1.426,0.671,4.58,1.01749,4.452,-1556.9
810,90,200.0,1,0.639,0.939,1.557,0.782,4.82,1.01128,4.561,-1517.8
811,100,200.0,1,0.629,0.936,1.692,0.894,5.12,1.00472,4.667,-1478.6
812,110,200.0,1,0.619,0.932,1.832,1.009,5.48,0.99782,4.771,-1439.3
813,120,200.0,1,0.608,0.927,1.979,1.128,5.9,0.99061,4.872,-1400.0
814,130,200.0,1,0.596,0.922,2.133,1.252,6.38,0.98308,4.972,-1360.5
815,140,200.0,1,0.583,0.917,2.296,1.383,6.94,0.97523,5.068,-1321.0
816,150,200.0,1,0.569,0.91,2.469,1.521,7.57,0.96706,5.163,-1281.4
817,160,200.0,1,0.555,0.903,2.654,1.669,8.29,0.95857,5.256,-1241.6
818,170,200.0,1,0.54,0.896,2.852,1.82,9.11,0.94974,5.347,-1201.7
819,180,200.0,1,0.524,0.888,3.066,1.998,10.06,0.94057,5.436,-1161.7
820,190,200.0,1,0.508,0.88,3.297,2.184,11.16,0.93101,5.524,-1121.5
821,200,200.0,1,0.491,0.87,3.549,2.387,12.44,0.92109,5.611,-1081.1
822,210,200.0,1,0.474,0.86,3.825,2.61,13.96,0.91075,5.696,-1040.4
823,220,200.0,1,0.456,0.85,4.129,2.859,15.78,0.89995,5.779,-999.5
824,230,200.0,1,0.437,0.838,4.467,3.137,18.01,0.88868,5.862,-958.3
825,240,200.0,1,0.418,0.826,4.847,3.452,20.77,0.87688,5.944,-916.5
826,250,200.0,1,0.399,0.813,5.281,3.816,24.26,0.8645,6.025,-874.8
827,260,200.0,1,0.378,0.798,5.782,4.24,28.86,0.8515,6.105,-832.3
828,270,200.0,1,0.357,0.783,6.372,4.747,35.01,0.8378,6.185,-789.3
829,280,200.0,1,0.335,0.766,7.084,5.367,43.55,0.82334,6.265,-745.6
830,290,200.0,1,0.313,0.747,7.967,6.147,55.88,0.80806,6.345,-701.2
831,300,200.0,1,0.289,0.726,9.102,7.166,74.56,0.7919,6.424,-655.9
832,0,400.0,1,0.654,0.928,0.195,-0.509,7.68,1.0598,3.451,-1849.6
833,10,400.0,1,0.664,0.936,0.431,-0.26,5.69,1.05731,3.588,-1811.6
834,20,400.0,1,0.67,0.942,0.61,-0.075,4.75,1.05417,3.72,-1773.3
835,25,400.0,1,0.671,0.944,0.688,0.004,4.47,1.05239,3.785,-1754.1
836,30,400.0,1,0.672,0.945,0.761,0.076,4.27,1.05048,3.85,-1734.8
837,40,400.0,1,0.672,0.947,0.895,0.206,4.05,1.0463,3.975,-1696.2
838,50,400.0,1,0.67,0.948,1.021,0.323,3.97,1.04167,4.096,-1657.6
839,60,400.0,1,0.666,0.948,1.142,0.433,3.99,1.03664,4.214,-1618.9
840,70,400.0,1,0.66,0.947,1.262,0.538,4.09,1.03122,4.329,-1580.2
841,80,400.0,1,0.653,0.945,1.382,0.641,4.26,1.02547,4.44,-1541.4
842,90,400.0,1,0.645,0.942,1.503,0.743,4.48,1.0194,4.549,-1502.5
843,100,400.0,1,0.636,0.939,1.629,0.847,4.74,1.01301,4.654,-1463.6
844,110,400.0,1,0.627,0.935,1.758,0.952,5.06,1.00633,4.757,-1424.7
845,120,400.0,1,0.616,0.931,1.893,1.061,5.42,0.99936,4.858,-1385.6
846,130,400.0,1,0.604,0.926,2.034,1.175,5.84,0.9921,4.956,-1346.5
847,140,400.0,1,0.592,0.921,2.183,1.293,6.31,0.98457,5.052,-1307.3
848,150,400.0,1,0.579,0.915,2.34,1.418,6.84,0.97676,5.146,-1268.1
849,160,400.0,1,0.566,0.909,2.507,1.55,7.43,0.96867,5.238,-1228.7
850,170,400.0,1,0.552,0.902,2.684,1.69,8.1,0.9603,5.328,-1189.3
851,180,400.0,1,0.537,0.895,2.873,1.839,8.85,0.95163,5.416,-1149.7
852,190,400.0,1,0.522,0.887,3.075,2.0,9.69,0.94265,5.503,-1110.1
853,200,400.0,1,0.506,0.878,3.292,2.172,10.65,0.93336,5.588,-1070.3
854,210,400.0,1,0.489,0.869,3.526,2.359,11.75,0.92372,5.671,-1030.3
855,220,400.0,1,0.473,0.859,3.779,2.562,13.01,0.91373,5.754,-990.2
856,230,400.0,1,0.455,0.849,4.055,2.784,14.49,0.90336,5.835,-949.8
857,240,400.0,1,0.438,0.837,4.356,3.028,16.24,0.89258,5.914,-909.3
858,250,400.0,1,0.419,0.825,4.689,3.3,18.34,0.88135,5.993,-868.4
859,260,400.0,1,0.401,0.813,5.06,3.605,20.91,0.86963,6.071,-827.2
860,270,400.0,1,0.382,0.799,5.477,3.952,24.13,0.85739,6.148,-785.7
861,280,400.0,1,0.362,0.784,5.953,4.353,28.25,0.84457,6.225,-743.8
862,290,400.0,1,0.342,0.768,6.505,4.823,33.67,0.83112,6.301,-701.4
863,300,400.0,1,0.321,0.75,7.159,5.387,41.04,0.81698,6.376,-658.5
864,0,600.0,1,0.663,0.933,0.249,-0.439,6.86,1.06809,3.447,-1831.9
865,10,600.0,1,0.672,0.94,0.461,-0.216,5.16,1.06528,3.582,-1794.2
866,20,600.0,1,0.677,0.945,0.625,-0.047,4.36,1.06192,3.714,-1756.2
867,25,600.0,1,0.678,0.947,0.696,0.024,4.12,1.06006,3.779,-1737.2
868,30,600.0,1,0.678,0.948,0.763,0.09,3.95,1.05808,3.842,-1718.0
869,40,600.0,1,0.678,0.95,0.883,0.21,3.76,1.05381,3.967,-1679.7
870,50,600.0,1,0.675,0.951,1.005,0.319,3.7,1.04915,4.087,-1641.3
871,60,600.0,1,0.671,0.95,1.113,0.421,3.72,1.04412,4.205,-1602.9
872,70,600.0,1,0.666,0.949,1.229,0.518,3.82,1.03876,4.318,-1564.4
873,80,600.0,1,0.659,0.947,1.341,0.613,3.97,1.03309,4.429,-1525.9
874,90,600.0,1,0.652,0.945,1.454,0.708,4.17,1.02713,4.537,-1487.3
875,100,600.0,1,0.643,0.942,1.571,0.804,4.41,1.02083,4.642,-1448.6
876,110,600.0,1,0.634,0.938,1.691,0.902,4.69,1.01436,4.744,-1409.9
877,120,600.0,1,0.624,0.934,1.816,1.003,5.02,1.00758,4.844,-1371.2
878,130,600.0,1,0.613,0.93,1.947,1.107,5.38,1.00055,4.941,-1332.4
879,140,600.0,1,0.601,0.925,2.083,1.215,5.79,0.99327,5.031,-1293.5
880,150,600.0,1,0.589,0.92,2.227,1.328,6.24,0.98574,5.13,-1254.5
881,160,600.0,1,0.576,0.914,2.379,1.447,6.74,0.97797,5.221,-1215.5
882,170,600.0,1,0.562,0.907,2.539,1.573,7.3,0.96995,5.31,-1176.5
883,180,600.0,1,0.543,0.9,2.708,1.705,7.91,0.96168,5.397,-1137.3
884,190,600.0,1,0.534,0.893,2.888,1.847,8.58,0.95315,5.483,-1098.1
885,200,600.0,1,0.519,0.885,3.019,1.997,9.33,0.94435,5.567,-1058.8
886,210,600.0,1,0.503,0.877,3.283,2.157,10.17,0.93521,5.649,-1019.4
887,220,600.0,1,0.488,0.868,3.501,2.329,11.1,0.9259,5.73,-979.9
888,230,600.0,1,0.471,0.858,3.734,2.514,12.16,0.91621,5.81,-940.2
889,240,600.0,1,0.455,0.848,3.985,2.713,13.36,0.9062,5.888,-900.4
890,250,600.0,1,0.433,0.836,4.255,2.929,14.75,0.89583,5.965,-860.5
891,260,600.0,1,0.42,0.825,4.55,3.165,16.37,0.88508,6.042,-820.3
892,270,600.0,1,0.402,0.812,4.871,3.426,18.3,0.87391,6.117,-779.9
893,280,600.0,1,0.384,0.798,5.226,3.716,20.64,0.86228,6.191,-739.3
