Temperature (K),Pressure (MPa),Enthalpy (kJ/mol),Entropy (J/mol*K)
340,27,14.397,58.375
340,27.5,14.368,58.207
340,28,14.341,58.045
340,28.5,14.316,57.887
340,29,14.291,57.734
340,29.5,14.268,57.585
340,30,14.246,57.439
340,30.5,14.226,57.297
340,31,14.206,57.159
340,31.5,14.187,57.024
340,32,14.169,56.891
340,32.5,14.152,56.762
340,33,14.135,56.635
340,33.5,14.12,56.511
340,34,14.105,56.39
340,34.5,14.091,56.271
340,35,14.078,56.154
340,35.5,14.065,56.039
340,36,14.053,55.927
350,8,21.428,84.228
350,8.5,21.198,83.204
350,9,20.96,82.187
350,9.5,20.713,81.173
350,10,20.458,80.159
350,10.5,20.195,79.143
350,11,19.925,78.125
350,11.5,19.647,77.106
350,12,19.365,76.09
350,12.5,19.081,75.082
350,13,18.798,74.091
350,13.5,18.52,73.126
350,14,18.251,72.196
350,14.5,17.995,71.311
350,15,17.753,70.477
350,15.5,17.528,69.698
350,16,17.321,68.976
350,16.5,17.131,68.309
350,17,16.958,67.693
350,17.5,16.801,67.126
350,18,16.657,66.601
350,18.5,16.526,66.116
350,19,16.406,65.666
350,19.5,16.296,65.246
350,20,16.195,64.855
350,20.5,16.102,64.488
350,21,16.016,64.143
350,21.5,15.937,63.817
350,22,15.863,63.51
350,22.5,15.794,63.218
350,23,15.73,62.941
350,23.5,15.67,62.677
350,24,15.614,62.425
350,24.5,15.562,62.183
350,25,15.512,61.952
350,25.5,15.465,61.729
350,26,15.422,61.516
350,26.5,15.38,61.31
350,27,15.341,61.111
350,27.5,15.304,60.919
350,28,15.269,60.733
350,28.5,15.235,60.553
350,29,15.204,60.379
350,29.5,15.174,60.21
350,30,15.145,60.045
350,30.5,15.118,59.885
350,31,15.093,59.73
350,31.5,15.068,59.578
350,32,15.045,59.43
350,32.5,15.022,59.286
350,33,15.001,59.145
350,33.5,14.981,59.007
350,34,14.962,58.873
350,34.5,14.943,58.741
350,35,14.926,58.612
350,35.5,14.909,58.486
350,36,14.893,58.362
360,8,22.082,86.07
360,8.5,21.883,85.136
360,9,21.68,84.216
360,9.5,21.471,83.309
360,10,21.258,82.411
360,10.5,21.04,81.522
360,11,20.817,80.64
360,11.5,20.59,79.764
360,12,20.361,78.895
360,12.5,20.129,78.035
360,13,19.896,77.185
360,13.5,19.664,76.349
360,14,19.434,75.531
360,14.5,19.209,74.734
360,15,18.99,73.962
360,15.5,18.778,73.22
360,16,18.576,72.511
360,16.5,18.383,71.836
360,17,18.202,71.196
360,17.5,18.031,70.593
360,18,17.872,70.025
360,18.5,17.723,69.49
360,19,17.585,68.988
360,19.5,17.457,68.516
360,20,17.337,68.072
360,20.5,17.226,67.654
360,21,17.123,67.259
360,21.5,17.026,66.887
360,22,16.937,66.534
360,22.5,16.853,66.199
360,23,16.774,65.881
360,23.5,16.7,65.579
360,24,16.631,65.29
360,24.5,16.567,65.014
360,25,16.505,64.75
360,25.5,16.448,64.497
360,26,16.394,64.254
360,26.5,16.342,64.021
360,27,16.294,63.796
360,27.5,16.248,63.579
360,28,16.205,63.37
360,28.5,16.163,63.167
360,29,16.124,62.971
360,29.5,16.087,62.782
360,30,16.051,62.598
360,30.5,16.018,62.419
360,31,15.986,62.246
360,31.5,15.955,62.077
360,32,15.926,61.913
360,32.5,15.898,61.753
360,33,15.872,61.598
360,33.5,15.847,61.446
360,34,15.822,61.297
360,34.5,15.799,61.153
360,35,15.777,61.011
360,35.5,15.756,60.873
360,36,15.736,60.737
370,8,22.694,87.749
370,8.5,22.519,86.877
370,9,22.34,86.026
370,9.5,22.159,85.192
370,10,21.974,84.373
370,10.5,21.786,83.567
370,11,21.595,82.773
370,11.5,21.402,81.989
370,12,21.207,81.215
370,12.5,21.011,80.452
370,13,20.814,79.7
370,13.5,20.616,78.959
370,14,20.42,78.231
370,14.5,20.225,77.518
370,15,20.033,76.821
370,15.5,19.844,76.142
370,16,19.66,75.483
370,16.5,19.481,74.846
370,17,19.309,74.232
370,17.5,19.144,73.642
370,18,18.985,73.076
370,18.5,18.835,72.536
370,19,18.692,72.02
370,19.5,18.556,71.529
370,20,18.428,71.062
370,20.5,18.308,70.617
370,21,18.194,70.194
370,21.5,18.087,69.792
370,22,17.986,69.409
370,22.5,17.891,69.044
370,23,17.801,68.696
370,23.5,17.717,68.364
370,24,17.637,68.046
370,24.5,17.562,67.743
